No.	Chromosome	Total pup	Induced in/del	Efficiency	Deletion_bp	Strand	sg1_strand	sg1_MH	sg1_Deep	sg1_GC	sg1_Doench	sg1_Mor	sg1_RuleSet3	sg1_CRISPRon	sg2_strand	sg2_MH	sg2_Deep	sg2_GC	sg2_Doench	sg2_Mor	sg2_RuleSet3	sg2_CRISPRon
39	7	14	1	7.143	433	Same	+	4222.8	20.938	50	43	23	-79	23	+	4206.6	16.387	25	51	19	-115	20
40	8	36	0	0	650	Same	-	3603.7	17.415	30	38	39	-72	14	-	2827.3	43.536	45	61	50	36	47
41	8	31	0	0	650	Same	-	3603.7	17.415	30	38	39	-72	14	-	2827.3	43.536	45	61	50	36	47
42	8	23	1	4.348	650	Same	-	3603.7	17.415	30	38	39	-72	14	-	2827.3	43.536	45	61	50	36	47
43	4	21	12	57.143	217	Same	+	2056.4	50.663	65	41	33	-9	44	+	4905.2	69.698	65	64	65	97	65
44	16	22	8	36.364	1653	Divergent	-	6293	47.81	65	34	62	-62	35	+	3572.5	45.053	40	54	56	7	48
45	6	15	8	53.333	1491	Divergent	-	2525.2	58.318	50	61	57	48	53	+	3941.5	39.643	50	43	62	14	36
46	6	14	6	42.857	1497	Convergent	+	6619.9	64.084	60	53	58	74	63	-	5442.6	46.706	50	53	52	28	45
47	16	20	14	70	219	Same	-	4220.2	66.962	45	68	44	93	67	-	4349.1	33.696	50	63	43	-31	36
48	4	27	2	7.407	1099	Divergent	-	3121.5	57.657	50	58	43	57	49	+	3022	37.147	35	54	41	13	41
49	11	19	15	78.947	177	Same	+	3301.6	51.151	55	55	53	30	53	+	3571.7	38.406	40	57	62	-19	41
50	8	15	4	26.667	1071	Same	-	7610.8	43.445	75	43	71	16	39	-	4504.3	51.304	55	53	26	-41	32
51	19	23	2	8.696	388	Same	+	6431.2	50.984	65	60	57	68	55	+	4236	12.374	40	33	37	-124	12
52	3	36	4	11.111	2165	Divergent	-	8955.7	50.239	70	43	65	17	49	+	3971.9	68.027	45	67	72	78	57
53	2	23	5	21.739	229	Convergent	+	3732.9	35.41	55	55	29	47	45	-	4744.6	34.145	45	44	60	-31	30
54	5	13	0	0	364	Same	-	4318.5	34.152	60	53	49	-27	31	-	5291.2	72.503	55	59	57	97	66
55	5	26	7	26.923	364	Same	-	4318.5	34.152	60	53	49	-27	31	-	5291.2	72.503	55	59	57	97	66
56	4	38	2	5.263	516	Divergent	-	10120	46.386	60	45	63	40	43	+	3164.7	36.754	50	32	29	-37	33
57	7	12	0	0	505	Divergent	-	3744.3	42.447	45	52	22	-10	43	+	3529.7	34.736	35	65	26	2	39
58	7	28	1	3.571	505	Divergent	-	3744.3	42.447	45	52	22	-10	43	+	3529.7	34.736	35	65	26	2	39
59	7	21	5	23.81	505	Divergent	-	3744.3	42.447	45	52	22	-10	43	+	3529.7	34.736	35	65	26	2	39
60	11	26	3	11.538	940	Same	+	4671.8	19.076	50	44	38	-108	18	+	6343	46.262	65	44	76	-37	39
61	2	10	4	40	165	Same	+	5300.8	37.768	65	46	47	26	42	+	6828.3	47.863	65	39	62	19	44
62	19	25	5	20	549	Divergent	-	4656.2	65.622	45	57	31	42	59	+	4546.9	47.915	55	61	38	59	52
63	10	18	1	5.556	383	Convergent	+	4076.2	29.995	40	47	38	-15	41	-	3565.2	67.81	55	64	43	96	64
64	4	11	1	9.091	192	Same	+	4111.9	54.636	40	56	49	28	64	+	3218.6	15.721	40	35	26	-94	12
65	4	25	1	4	192	Same	+	4111.9	54.636	40	56	49	28	64	+	3218.6	15.721	40	35	26	-94	12
66	17	21	0	0	290	Same	-	4059.4	5.487	35	21	33	-174	7	-	4033.2	32.742	40	36	39	-65	21
67	17	28	1	3.571	290	Same	-	4059.4	5.487	35	21	33	-174	7	-	4033.2	32.742	40	36	39	-65	21
68	17	29	1	3.448	290	Same	-	4059.4	5.487	35	21	33	-174	7	-	4033.2	32.742	40	36	39	-65	21
69	5	11	1	9.091	167	Divergent	-	5035.3	40.682	60	52	56	24	51	+	6021.8	33.936	75	44	48	-49	30
70	4	23	1	4.348	171	Divergent	-	4986.6	65.425	55	69	100	81	63	+	6456.3	34.152	75	34	61	-96	36
71	4	13	1	7.692	171	Divergent	-	4986.6	65.425	55	69	100	81	63	+	6456.3	34.152	75	34	61	-96	36
72	14	31	4	12.903	1194	Same	+	5335.9	20.269	60	43	53	-27	22	+	3645.4	5.211	35	38	21	-163	15
73	19	12	6	50	413	Same	+	3475.3	14.878	35	28	31	-98	9	+	7152	53.477	50	60	62	42	51
74	15	26	0	0	961	Divergent	-	3355.3	1.245	25	14	31	-208	3	+	3357	36.572	45	51	19	19	42
75	15	30	1	3.333	961	Divergent	-	3355.3	1.245	25	14	31	-208	3	+	3357	36.572	45	51	19	19	42
76	15	25	8	32	230	Same	+	3720.1	54.641	40	59	28	18	47	+	3957	29.111	60	40	50	-47	28
77	4	21	6	28.571	853	Divergent	-	5690.5	71.707	70	51	74	106	69	+	7676.9	66.02	65	45	82	56	65
78	15	16	15	93.75	1143	Same	-	3836.3	46.406	50	48	25	29	39	-	5660.2	55.643	65	57	58	107	58
79	6	19	6	31.579	5488	Divergent	-	3581.7	57.04	65	59	45	31	54	+	3855.5	38.308	45	58	56	-5	43
80	17	30	6	20	1987	Same	+	5416.2	41.373	65	39	44	-40	33	+	3645.7	50.104	60	50	40	42	48
81	17	24	9	37.5	663	Same	+	3876.6	55.652	55	59	25	38	48	+	1730.3	5.25	45	12	21	-193	11
82	6	10	1	10	1273	Convergent	+	8563.7	44.072	70	25	43	-58	43	-	3395.4	12.965	30	48	29	-54	12
83	11	21	3	14.286	410	Same	-	6174.1	46.964	55	46	43	-32	40	-	3752.5	37.346	50	52	26	30	42
84	15	13	4	30.769	732	Same	-	5084.8	48.367	65	61	52	68	52	-	2155.2	6.903	30	37	38	-138	11
85	9	28	14	50	3407	Convergent	+	4163.3	47.09	60	45	54	-7	40	-	3595.8	49.135	40	58	24	69	47
86	16	21	17	80.952	270	Convergent	+	5337.6	46.07	70	46	78	3	38	-	5221.1	67.896	55	60	53	114	64
87	6	21	4	19.048	1517	Divergent	-	6252.4	57.894	70	48	72	65	59	+	5713.2	59.252	45	56	56	88	67
88	3	27	3	11.111	1807	Divergent	-	2938.4	37.795	45	44	40	-36	36	+	6018.3	68.732	65	52	63	90	66
89	9	25	8	32	228	Convergent	+	3215.8	47.742	30	63	29	45	46	-	3381.5	45.779	45	55	43	0	37
90	9	32	0	0	288	Divergent	-	4449.2	9.844	15	56	27	-92	10	+	4028.2	21.44	45	41	20	-72	24
91	9	23	0	0	288	Divergent	-	4449.2	9.844	15	56	27	-92	10	+	4028.2	21.44	45	41	20	-72	24
92	9	30	7	23.333	391	Convergent	+	3761	28.351	25	48	18	-29	27	-	3506.8	48.38	25	61	28	45	49
93	8	21	4	19.048	208	Divergent	-	3545.3	17.237	35	34	30	-85	16	+	4846.7	50.41	55	56	63	64	53
94	7	20	10	50	284	Divergent	-	4702.8	59.409	65	66	55	101	61	+	2924.1	42.505	40	46	43	-54	40
95	11	19	1	5.263	1825	Same	+	3169.4	58.885	40	55	39	28	53	+	4526.7	46.47	35	61	44	18	41
96	15	29	8	27.586	244	Same	-	3587.4	42.446	45	38	42	-23	37	-	3337.5	62.877	65	68	55	113	60
97	7	28	8	28.571	205	Same	-	3492.9	47.587	40	52	31	-18	39	-	3942.7	40.758	50	48	57	22	43
98	13	19	9	47.368	638	Convergent	+	3494	14.995	50	30	57	-116	18	-	4265.1	14.928	25	25	47	-100	11
99	10	18	11	61.111	212	Divergent	-	4697.1	47.921	40	52	32	21	46	+	3636.2	64.441	55	68	53	96	58
100	1	26	1	3.846	317	Convergent	+	4873.2	49.565	60	53	29	11	44	-	4441.5	43.428	65	48	30	12	42
101	1	21	2	9.524	317	Convergent	+	4873.2	49.565	60	53	29	11	44	-	4441.5	43.428	65	48	30	12	42
102	1	28	0	0	317	Convergent	+	4873.2	49.565	60	53	29	11	44	-	4441.5	43.428	65	48	30	12	42
103	1	20	6	30	341	Convergent	+	4730.4	11.979	60	35	38	-106	23	-	3283.1	47.612	40	51	44	-42	41
104	8	26	8	30.769	244	Convergent	+	4310.2	58.395	55	62	37	95	65	-	3418.5	20.587	45	48	42	-87	25
105	1	25	1	4	344	Convergent	+	3806.3	30.478	50	52	49	-9	24	-	4250.8	31.712	45	47	62	-13	39
106	1	15	2	13.333	344	Convergent	+	3806.3	30.478	50	52	49	-9	24	-	4250.8	31.712	45	47	62	-13	39
107	3	27	3	11.111	249	Same	+	4002.2	34.565	65	42	55	-44	33	+	3643.5	4.183	25	38	23	-223	4
108	7	25	18	72	866	Same	-	3912.1	78.176	65	61	50	102	69	-	3328.1	50.629	60	45	8	18	51
109	3	20	10	50	1358	Same	-	3060.2	65.331	55	66	51	80	58	-	4163.9	53.908	55	51	49	47	50
110	7	17	8	47.059	387	Convergent	+	6811.4	54.634	60	50	55	30	52	-	6577.8	42.891	75	38	64	9	43
111	2	25	9	36	563	Same	-	10060.7	42.381	85	49	81	-46	28	-	4157.3	30.605	55	33	54	-105	24
112	4	30	7	23.333	1747	Same	-	3499.7	10.254	30	36	7	-94	13	-	3718.5	35.531	55	43	28	-54	32
113	9	35	3	8.571	1592	Convergent	+	3705	19.691	30	43	16	-54	15	-	2591.7	37.294	40	44	51	-42	33
114	9	28	3	10.714	1592	Convergent	+	3705	19.691	30	43	16	-54	15	-	2591.7	37.294	40	44	51	-42	33
115	15	26	2	7.692	192	Same	-	2898.5	14.524	50	40	22	-91	17	-	5028.4	46.571	35	49	52	-53	30
116	13	14	2	14.286	6696	Same	+	4439	19.357	55	49	18	-52	18	+	3780.8	77.923	55	65	45	129	73
117	8	23	4	17.391	111	Same	-	4799.3	51.668	55	56	61	37	53	-	3440.6	39.557	35	52	26	1	35
118	11	26	5	19.231	2825	Divergent	-	2055	61.364	60	62	65	59	63	+	4391.4	66.274	55	58	42	61	51
119	11	19	6	31.579	2825	Divergent	-	2055	61.364	60	62	65	59	63	+	4391.4	66.274	55	58	42	61	51
120	11	21	6	28.571	113	Convergent	+	5407.1	43.055	70	63	71	60	53	-	4418.1	36.019	35	39	35	-8	35
121	6	40	4	10	846	Convergent	+	2369.9	45.425	50	59	39	-48	49	-	3999.5	45.468	30	51	54	4	33
122	19	25	18	72	1032	Divergent	-	3557.1	65.976	50	68	84	123	65	+	1717.7	62.494	55	51	37	37	46
123	2	22	11	50	383	Same	+	4955.4	60.156	55	68	82	127	66	+	5084.4	52.638	65	57	82	34	48
124	2	13	9	69.231	383	Same	+	4955.4	60.156	55	68	82	127	66	+	5084.4	52.638	65	57	82	34	48
125	10	30	4	13.333	1149	Same	+	5329.1	57.71	70	56	29	64	51	+	3604.5	17.687	45	49	41	-100	24
126	11	22	9	40.909	1609	Divergent	-	4493.2	66.802	50	59	46	64	53	+	2990.7	34.54	35	58	32	-35	34
127	6	21	10	47.619	613	Convergent	+	6156.5	32.83	60	24	58	-115	24	-	4190.5	35.678	45	38	46	-29	35
128	9	22	3	13.636	304	Same	+	4374.2	60.852	35	54	49	37	48	+	4178.6	25.69	45	36	40	-119	20
129	16	24	6	25	211	Same	+	3466.5	50.746	40	61	28	58	56	+	4553.9	45.965	55	51	26	10	37
130	16	20	5	25	231	Convergent	+	3055.1	40.972	40	48	17	-29	32	-	3934	74.432	30	76	27	109	63
131	16	28	13	46.429	231	Convergent	+	3055.1	40.972	40	48	17	-29	32	-	3934	74.432	30	76	27	109	63
132	17	31	3	9.677	2322	Same	+	3942.4	42.834	70	45	27	26	43	+	5411.5	41.33	60	38	42	-4	40
133	7	27	17	62.963	1588	Same	-	3173.2	17.321	35	44	24	-54	22	-	6328.2	52.709	45	61	34	78	56
134	1	22	7	31.818	2010	Same	+	4554.1	55.198	45	51	23	54	50	+	4568.9	32.203	45	47	38	-42	28
135	7	24	12	50	1732	Convergent	+	3269.4	26.027	35	45	37	-62	26	-	4448.9	42.7	60	55	55	45	46
136	1	15	3	20	5760	Divergent	-	4065.6	21.896	65	30	32	-95	24	+	6533.6	41.024	70	51	83	24	53
137	7	24	2	8.333	1191	Same	-	2376.4	70.875	50	62	68	135	67	-	4205.6	3.978	35	13	41	-198	7
138	6	27	4	14.815	147	Same	-	8447.6	24.1	80	30	68	-50	23	-	5794.5	29.008	65	40	49	-87	25
139	7	23	0	0	1371	Same	+	3991	61.129	45	50	45	50	47	+	4137.1	12.253	40	37	42	-163	9
140	7	22	2	9.091	1371	Same	+	3991	61.129	45	50	45	50	47	+	4137.1	12.253	40	37	42	-163	9
141	7	36	2	5.556	1371	Same	+	3991	61.129	45	50	45	50	47	+	4137.1	12.253	40	37	42	-163	9
142	1	24	4	16.667	1180	Divergent	-	2852.4	14.721	35	27	48	-92	21	+	3491.2	44.592	30	55	20	-41	37
143	11	29	22	75.862	2017	Divergent	-	5633.1	52.393	60	50	23	-23	42	+	4453.1	65.958	65	64	63	136	64
144	11	15	1	6.667	277	Divergent	-	4786.9	64.11	40	56	43	13	58	+	4051.6	39.139	40	67	45	-23	38
145	11	32	9	28.125	277	Divergent	-	4786.9	64.11	40	56	43	13	58	+	4051.6	39.139	40	67	45	-23	38
146	12	16	7	43.75	485	Convergent	+	4824.5	63.434	30	68	52	74	52	-	6777.2	54.562	50	46	45	-29	42
147	8	17	2	11.765	267	Divergent	-	7357.7	39.217	80	35	59	10	45	+	5025.7	29.219	70	39	46	-22	34
148	2	26	2	7.692	366	Same	+	6481.1	60.08	70	65	55	59	52	+	4644.9	52.173	55	59	23	62	39
149	4	22	12	54.545	847	Convergent	+	4086.7	66.358	50	59	66	58	57	-	4379.7	58.372	50	61	28	59	53
150	17	25	1	4	915	Same	+	4324.7	65.454	35	50	44	41	54	+	3451.7	38.315	55	56	32	-1	38
151	5	24	9	37.5	214	Convergent	+	4241.4	43.734	60	55	51	8	52	-	5059.8	51.714	70	45	78	24	51
152	12	21	1	4.762	434	Same	-	2619.3	13.061	35	43	35	-118	22	-	3172.1	77.687	45	69	37	123	77
153	12	24	7	29.167	434	Same	-	2619.3	13.061	35	43	35	-118	22	-	3172.1	77.687	45	69	37	123	77
154	11	21	3	14.286	493	Same	-	3228.2	50.597	35	52	28	-13	45	-	2652.4	67.673	50	64	21	86	51
155	17	29	2	6.897	915	Convergent	+	3592.3	46.955	50	48	44	-24	34	-	2797.2	35.643	60	46	54	-80	35
156	5	24	9	37.5	534	Same	+	4089.3	61.584	50	66	89	24	49	+	4223.5	49.864	50	48	49	-12	44
157	13	25	5	20	649	Same	-	2534.5	60.309	45	59	22	66	57	-	3660.8	31.77	25	50	19	-54	16
158	13	24	1	4.167	257	Same	+	10475.9	24.774	80	42	31	-19	26	+	5212	48.79	60	53	69	19	51
159	13	17	3	17.647	257	Same	+	10475.9	24.774	80	42	31	-19	26	+	5212	48.79	60	53	69	19	51
160	14	16	4	25	240	Divergent	-	5339.7	29.539	45	35	10	-71	30	+	4150.5	34.095	45	52	40	-64	27
161	3	27	4	14.815	498	Convergent	+	4126.2	71.984	50	67	37	77	65	-	2368.2	62.839	45	71	54	87	60
162	9	19	6	31.579	1659	Convergent	+	5204.7	64.951	55	66	52	94	63	-	6092.8	70.455	65	64	59	109	67
163	7	27	5	18.519	52	Same	-	6212.7	51.5	50	53	57	-39	48	-	5174.9	64.081	60	52	21	76	64
164	16	26	18	69.231	286	Convergent	+	3550.7	65.745	55	58	53	49	59	-	4349.7	74.542	50	80	31	120	56
165	1	41	3	7.317	1038	Divergent	-	3491.9	71.629	40	70	63	127	70	+	3117.5	68.218	45	63	32	110	64
166	1	19	13	68.421	965	Same	+	5184.8	72.002	45	72	34	92	64	+	3837.7	71.342	40	68	55	119	65
167	16	30	2	6.667	333	Convergent	+	2756.2	64.867	35	66	55	80	58	-	3530.3	42.99	40	60	31	-25	47
168	16	26	10	38.462	333	Convergent	+	2756.2	64.867	35	66	55	80	58	-	3530.3	42.99	40	60	31	-25	47
169	9	26	7	26.923	197	Divergent	-	4492.5	62.277	50	68	54	43	53	+	2759.5	63.223	50	63	51	89	55
170	9	28	11	39.286	7567	Same	+	3444.3	70.321	35	61	54	103	66	+	4477.7	64.239	55	60	34	27	48
171	5	26	17	65.385	489	Divergent	-	5410.8	77.921	60	72	76	135	77	+	3694.7	56.824	40	67	51	67	53
172	11	47	7	14.894	2856	Same	-	3993.3	63.469	55	72	66	69	62	-	4540	73.64	50	72	40	85	57
173	18	31	10	32.258	876	Convergent	+	3647.2	71.404	50	63	69	85	61	-	3983.3	63.918	40	62	24	20	54
174	13	38	5	13.158	347	Same	-	4221.7	70.705	40	59	45	81	68	-	3861.1	49.141	35	59	39	31	42
175	13	34	8	23.529	347	Same	-	4221.7	70.705	40	59	45	81	68	-	3861.1	49.141	35	59	39	31	42
176	15	18	5	27.778	460	Divergent	-	3043.6	65.049	40	73	64	99	65	+	4265.7	59.88	55	74	33	89	57
177	9	17	6	35.294	262	Same	+	5133.1	64.279	50	68	49	82	65	+	5445	49.009	50	63	57	26	47
178	15	15	9	60	1377	Convergent	+	4626.6	73.589	65	67	34	75	60	-	5284.6	55.986	45	63	58	39	46
179	1	33	14	42.424	1592	Same	-	4306.6	67.025	55	72	44	129	66	-	3210.8	53.401	50	70	43	80	55
180	13	20	3	15	94	Same	-	2631.1	15.487	55	38	12	-91	15	-	4442.3	52.693	60	45	53	-2	35
181	6	28	1	3.571	136	Same	+	2822.7	53.448	35	60	36	41	57	+	2717.3	35.781	40	52	37	35	41
182	14	23	11	47.826	308	Convergent	+	5447.1	59.313	65	67	55	50	49	-	2886.4	53.531	50	49	50	28	46
183	19	16	6	37.5	2541	Divergent	-	3447.7	58.864	45	69	41	59	54	+	5880.3	68.262	65	69	51	109	68
184	9	28	0	0	465	Convergent	+	4102.9	51.651	55	59	44	80	55	-	2342.6	61.219	50	67	32	33	49
185	9	17	1	5.882	465	Convergent	+	4102.9	51.651	55	59	44	80	55	-	2342.6	61.219	50	67	32	33	49
186	9	29	8	27.586	755	Convergent	+	4721	74.819	50	74	38	117	59	-	2342.6	61.219	50	67	32	33	49
187	7	29	6	20.69	533	Divergent	-	4472.8	74.388	50	62	73	112	74	+	3835.3	54.472	70	50	63	65	56
188	3	30	4	13.333	1183	Same	+	4495.2	73.623	50	66	52	122	62	+	3633.2	67.392	40	63	49	54	52
189	1	20	9	45	1686	Convergent	+	3408.1	56.17	55	48	62	-12	50	-	4452.3	62.028	50	63	66	69	65
190	10	13	7	53.846	989	Same	+	3144.9	50.447	30	60	20	-19	42	+	5223.2	66.246	55	67	29	42	64
191	4	13	12	92.308	89	Divergent	-	7077.4	70.418	75	70	73	98	77	+	5395.9	59.228	65	62	42	64	52
192	18	29	6	20.69	464	Same	-	3102.2	73.014	45	65	76	92	54	-	3599.7	65.535	30	69	34	40	51
193	12	31	7	22.581	977	Divergent	-	6712	64.3	65	64	61	53	56	+	5968.8	62.158	70	65	67	72	62
194	10	10	2	20	583	Divergent	-	3604.6	54.391	40	67	46	26	52	+	3669	48.169	45	53	30	22	37
195	16	11	11	100	543	Divergent	-	6178.7	59.807	70	49	64	105	64	+	3428.5	57.28	45	64	33	14	50
196	2	16	13	81.25	530	Same	+	3691.7	69.683	40	70	46	99	60	+	1623.3	55.907	35	61	46	88	60
197	6	26	13	50	681	Same	-	3281.8	49.999	45	62	47	32	42	-	3470.2	59.154	40	61	22	40	47
198	8	11	5	45.455	1819	Same	-	5965.3	68.516	65	64	87	94	68	-	4746.4	70.015	45	67	35	78	67
199	1	29	7	24.138	986	Same	+	3709	70.653	40	58	38	86	66	+	2599.7	55.905	35	64	31	53	56
200	4	31	14	45.161	885	Divergent	-	3508.8	55.676	55	74	70	42	48	+	4167.8	74.739	60	66	30	128	68
201	10	19	2	10.526	952	Same	-	3356.3	60.117	40	66	31	29	54	-	6703.7	59.335	70	60	91	10	56
202	6	23	8	34.783	640	Convergent	+	3639.5	51.487	50	53	34	14	43	-	4439.9	42.67	45	46	47	12	34
203	17	18	3	16.667	772	Same	-	3521.6	76.252	40	78	43	151	67	-	2037.4	56.096	40	62	40	36	51
204	9	12	7	58.333	1350	Divergent	-	5873.7	67.476	45	57	12	87	59	+	3808	62.41	45	58	54	47	52
205	13	27	11	40.741	712	Convergent	+	4303.5	63.679	60	62	75	80	73	-	3423	54.784	45	65	30	43	47
206	1	20	4	20	263	Divergent	-	4487.5	65.305	45	58	22	77	59	+	2473.1	51.866	35	60	64	35	55
207	13	30	0	0	387	Convergent	+	2980.2	7.092	25	35	4	-140	8	-	4010	16.313	25	30	44	-131	12
208	13	32	15	46.875	8454	Convergent	+	2978.8	61.055	45	57	48	24	50	-	2645.4	60.354	30	62	68	68	57
209	5	14	6	42.857	378	Same	-	3712.4	33.515	45	55	59	-89	28	-	6313.6	41.369	60	46	80	-59	31
210	7	16	1	6.25	493	Same	-	3463	58.003	45	63	23	50	49	-	4438.8	65.391	60	73	59	97	62
211	13	22	13	59.091	772	Convergent	+	4123.9	69.013	35	68	6	69	59	-	4394	66.114	40	66	37	98	55
212	5	41	0	0	537	Same	+	4296.4	38.608	65	53	33	-23	34	+	5797.8	35.186	60	53	68	94	59
213	5	27	9	33.333	726	Convergent	+	4534.7	63.406	45	54	27	-24	46	-	4744.2	29.093	60	53	54	-84	26
214	7	30	15	50	791	Convergent	+	7068.6	64.819	50	58	67	82	59	-	2961.5	55.65	40	64	54	66	54
215	4	32	0	0	413	Divergent	-	3743.3	66.09	50	77	71	141	60	+	2399.9	58.534	45	68	46	48	54
216	4	25	0	0	413	Divergent	-	3743.3	66.09	50	77	71	141	60	+	2399.9	58.534	45	68	46	48	54
217	16	24	1	4.167	938	Same	+	6053.8	68.309	65	65	78	89	67	+	3521.6	60.746	30	61	37	3	52
218	9	34	18	52.941	1481	Divergent	-	4323.2	62.126	40	67	47	126	61	+	3707	60.43	40	62	42	60	47
219	7	44	15	34.091	1359	Convergent	+	3326	53.991	50	65	44	59	53	-	3241.6	60.619	50	67	46	95	55
220	4	29	7	24.138	410	Same	-	4432.5	47.253	45	59	28	-6	54	-	3506.2	60.369	50	64	47	61	54
221	1	17	5	29.412	991	Same	+	3997.2	47.129	50	49	32	23	48	+	4260.8	74.507	50	70	46	134	72
222	7	17	7	41.176	238	Same	-	4741.9	10.513	40	21	44	-189	13	-	4252.3	50.696	65	54	62	80	61
223	17	21	5	23.81	1109	Same	-	3535.2	51.62	50	53	21	30	48	-	2685	62.75	65	49	53	56	53
224	19	15	1	6.667	130	Same	-	3210.8	54.661	35	55	31	10	52	-	2668.6	24.877	35	43	30	-27	24
225	11	22	6	27.273	2523	Divergent	-	5511.2	54.079	70	55	69	80	57	+	6279.8	63.495	60	54	69	63	54
226	6	24	9	37.5	231	Same	-	3259.2	15.542	45	31	27	-121	21	-	3295.3	21.977	25	36	39	-93	23
227	16	28	5	17.857	593	Same	-	3630.8	60.67	50	59	71	68	58	-	2474.9	61.316	40	58	43	-9	48
